"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2024";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"14.874.586,42";"50.566.418,06";"45.102.594,49";"1.979.213,84";
"07/2024";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"76.201.847,98";"47.237.729,05";"46.736.302,92";"1.523.707,72";
"03/2024";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"4.421.901,36";"42.314.789,72";"41.018.398,90";"3.945.627,38";
"02/2024";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"4.380.536,83";"40.825.401,97";"42.081.248,24";"3.382.618,16";
"07/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"12.636.947,38";"18.350.476,69";"15.812.563,78";"944.677,89";
"05/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"8.043.291,49";"19.313.608,07";"18.457.945,19";"6.754.169,96";
"04/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"2.917.524,41";"18.144.272,10";"18.088.047,14";"1.305.280,44";
"03/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"2.361.231,43";"17.961.605,83";"17.427.061,77";"1.890.937,40";
"06/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"4.048.858,98";"21.761.863,27";"18.881.629,38";"717.479,11";
"01/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"184.956.969,52";"16.757.830,00";"3.566.728,49";"21.623.605,73";
"02/2024";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"2.097.255,60";"16.910.170,71";"16.950.580,42";"2.574.619,20";
"02/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"1.625.387,28";"24.866.410,85";"25.214.976,36";"3.053.233,73";
"05/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"12.083.653,42";"29.400.316,12";"27.169.110,97";"2.006.393,01";
"03/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"2.683.722,18";"26.056.362,69";"25.408.666,82";"5.689.828,99";
"01/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"159.208.333,74";"25.153.300,82";"5.232.610,69";"30.825.856,97";
"07/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"171.227.618,26";"28.295.808,34";"29.967.283,79";"1.583.342,28";
"06/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"8.812.066,05";"35.170.220,85";"29.602.384,24";"850.217,66";
"04/2024";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"6.434.292,61";"27.084.539,59";"26.788.215,58";"2.571.013,03";
"03/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"3.615.941,51";"24.196.650,60";"23.783.781,28";"6.524.158,68";
"04/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"12.129.638,25";"27.679.738,86";"26.843.130,67";"4.118.991,67";
"01/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"278.061.037,01";"23.124.182,83";"4.484.094,23";"30.545.947,41";
"06/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"6.198.118,11";"32.479.171,37";"27.866.080,35";"2.293.411,00";
"05/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"12.772.452,24";"28.920.436,38";"27.507.215,58";"2.398.646,89";
"02/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"3.952.616,04";"23.569.502,23";"23.626.630,88";"2.867.994,31";
"07/2024";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"6.082.057,76";"28.633.356,70";"29.239.201,14";"1.176.308,11";
"04/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"12.092.366,31";"22.907.751,35";"23.093.987,36";"1.524.929,83";
"06/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"7.308.326,51";"30.096.170,72";"25.442.759,91";"1.442.470,88";
"03/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"4.517.108,91";"23.181.125,82";"21.408.880,81";"2.409.031,28";
"02/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"4.384.441,71";"21.525.596,57";"21.396.677,70";"2.254.981,26";
"01/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"209.974.297,10";"20.686.902,89";"4.940.141,63";"28.079.916,20";
"07/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"5.065.653,18";"21.450.807,11";"24.524.768,16";"1.079.704,49";
"05/2024";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"54.012.874,39";"25.855.990,42";"24.966.240,30";"1.445.936,17";
"03/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"1.718.484,48";"22.287.532,66";"21.599.279,59";"3.755.865,20";
"05/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"6.705.676,63";"23.643.122,24";"22.989.434,63";"3.419.319,59";
"01/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"276.292.220,76";"20.904.890,62";"4.405.522,29";"27.781.398,31";
"02/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"2.148.765,04";"20.982.366,07";"21.231.026,48";"2.368.531,70";
"07/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"2.623.775,64";"24.007.103,54";"25.073.164,83";"1.390.252,70";
"04/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"13.722.598,83";"22.296.505,00";"22.005.150,01";"2.256.903,84";
"06/2024";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"1.943.095,88";"29.339.475,68";"24.124.195,68";"801.536,06";
"01/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"82.881.042,61";"26.148.885,09";"5.691.487,07";"34.319.903,95";
"05/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"239.883.037,30";"31.797.029,68";"29.372.362,69";"844.745,93";
"04/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"29.967.618,34";"29.419.355,69";"25.581.068,54";"2.133.592,18";
"07/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"2.571.255,95";"32.079.737,41";"30.726.222,37";"814.673,60";
"02/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"3.567.774,58";"26.112.072,61";"26.513.388,18";"4.190.733,49";
"03/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"17.102.482,38";"28.263.655,33";"31.030.487,32";"5.453.359,46";
"06/2024";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"27.148.898,82";"35.583.423,11";"31.540.453,97";"2.074.579,30";
"04/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"3.787.412,13";"39.224.395,01";"37.985.412,50";"3.872.338,72";
"06/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"10.473.829,51";"50.155.500,15";"42.253.923,17";"2.115.897,65";
"01/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"446.816.511,07";"35.935.533,93";"7.024.035,01";"43.078.680,80";
"07/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"9.393.272,14";"41.734.060,25";"38.133.454,20";"1.248.337,90";
"05/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"10.247.776,77";"41.986.861,16";"40.499.982,85";"3.441.778,78";
"03/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"5.269.732,58";"38.970.496,86";"41.932.326,61";"7.287.483,38";
"02/2024";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"3.756.199,82";"37.082.228,13";"31.914.531,39";"8.974.923,26";
"02/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"5.553.623,35";"32.279.969,56";"31.732.586,68";"9.156.345,66";
"05/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"17.083.929,39";"33.804.266,11";"32.919.023,33";"3.218.354,64";
"04/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"31.369.939,27";"32.117.825,34";"31.318.220,53";"4.181.789,78";
"01/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"347.986.871,54";"27.643.709,15";"6.970.128,54";"32.349.111,66";
"03/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"3.734.036,54";"30.649.727,57";"30.263.024,56";"2.901.945,09";
"06/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"3.162.099,48";"37.595.229,88";"33.452.382,16";"846.038,83";
"07/2024";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"11.990.722,67";"32.626.131,43";"29.500.191,26";"1.471.675,84";
"01/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"243.101.543,83";"39.633.768,47";"8.236.158,54";"56.492.333,28";
"07/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"12.890.881,56";"45.521.291,10";"43.932.569,37";"426.159,41";
"04/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"18.306.428,40";"42.745.474,03";"42.715.579,43";"3.779.372,04";
"03/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"3.818.643,13";"42.854.884,82";"41.417.167,87";"4.123.273,80";
"02/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"5.934.785,87";"39.745.399,85";"35.685.965,22";"10.118.743,45";
"05/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"6.262.582,22";"46.186.430,21";"43.366.014,49";"370.173,08";
"06/2024";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"243.543.392,24";"52.319.248,27";"46.091.090,68";"209.984,54";
"02/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"8.800.068,54";"31.647.636,88";"28.383.966,73";"4.767.494,58";
"03/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"4.063.431,70";"30.646.221,30";"30.452.495,44";"601.654,73";
"07/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"14.195.994,86";"31.589.891,74";"30.570.400,70";"137.035,28";
"06/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"6.762.954,93";"38.352.115,64";"31.197.047,83";"60.096,81";
"04/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"14.046.075,67";"31.419.400,63";"31.267.328,66";"30.811,02";
"01/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"225.667.913,26";"26.839.936,50";"5.092.602,99";"32.485.112,08";
"05/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"11.675.084,24";"31.648.996,86";"31.308.962,74";"114.516,38";
"05/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"33.948.502,12";"121.281.453,43";"120.906.718,41";"7.243.378,72";
"03/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"52.710.905,48";"114.347.011,79";"110.060.219,97";"68.950.687,87";
"04/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"88.027.904,38";"119.926.904,09";"117.760.293,50";"68.362.591,25";
"06/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"118.369.839,33";"158.390.539,43";"120.293.896,08";"4.309.151,98";
"07/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"41.720.177,36";"140.136.743,33";"167.278.391,78";"87.422.659,25";
"01/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"1.287.247.481,23";"99.715.184,09";"12.436.588,84";"125.140.083,97";
"02/2024";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"33.722.750,04";"103.369.060,00";"102.843.093,24";"14.597.493,07";
"04/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"249.336.257,82";"24.026.184,75";"24.449.788,96";"37.174.835,99";
"02/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"205.549.803,55";"12.200.419,13";"10.818.394,57";"115.652.095,09";
"03/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"24.935.574,25";"24.583.764,48";"22.426.827,55";"41.182.884,84";
"07/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"180.885.400,16";"35.286.061,32";"40.885.568,56";"12.690.429,05";
"06/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"185.679.155,09";"46.393.363,28";"38.514.349,55";"23.100.545,26";
"05/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"58.125.140,90";"30.856.652,22";"31.449.361,91";"9.397.178,95";
"01/2024";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"91.556.924,46";"7.842.273,19";"1.562.532,15";"99.666.050,26";
"02/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"47.890.714,20";"40.677.687,68";"43.468.680,35";"2.356.624,67";
"01/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"33.873.222,57";"29.444.478,15";"6.621.694,89";"33.172.497,82";
"03/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"44.062.084,78";"40.227.159,36";"38.507.913,68";"718.185,68";
"07/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"64.263.457,54";"71.322.068,28";"74.804.641,37";"191.334,58";
"05/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"93.806.194,18";"80.695.911,84";"79.627.337,57";"230.753,65";
"04/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"87.873.614,52";"90.345.514,56";"89.663.429,66";"431.643,40";
"06/2024";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"79.751.897,56";"76.576.528,15";"70.682.658,19";"774.281,38";
"04/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"8.165.353,49";"2.615.368,06";"2.503.164,42";"131.107,95";
"01/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"19.727.334,30";"276.113,27";"76.678,54";"1.693.759,57";
"07/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"1.785.139,46";"2.901.441,17";"2.758.647,41";"0,00";
"05/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"3.644.817,82";"2.919.763,00";"2.802.237,29";"1.370.347,11";
"06/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 90.029,11";"2.475.620,33";"2.567.140,17";"150.130,36";
"03/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 839.935,62";"2.203.441,83";"2.219.322,34";"2.322.298,94";
"02/2024";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 3.557.457,62";"958.794,71";"801.817,22";"2.258.387,21";
"04/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"695.908.558,17";"9.902.390.833,73";"9.822.905.019,70";"33.124.837,70";
"06/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"48.638.766.148,68";"10.184.640.582,47";"9.868.140.453,39";"11.361.454,62";
"05/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"2.082.188.259,40";"9.914.565.929,91";"9.831.358.153,48";"41.786.818,82";
"07/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"812.527.901,91";"5.764.613.177,64";"9.344.808.233,33";"6.999.994,06";
"03/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"31.384.737.668,68";"9.680.641.642,01";"9.554.708.141,14";"18.646.086,67";
"01/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"24.816.377.395,69";"9.304.098.729,28";"4.135.494.965,41";"5.026.052.870,62";
"02/2024";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"617.964.250,18";"9.475.120.612,07";"9.450.927.180,88";"48.768.579,24";
"06/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"630.711.460,31";"788.209.255,79";"346.842.502,38";"282.892.227,05";
"03/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"342.006.090,05";"324.657.353,70";"321.174.774,30";"106.896.119,59";
"04/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"681.550.457,31";"325.767.343,61";"325.589.563,34";"96.487.401,51";
"01/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"120.598.679,79";"92.661.334,14";"10.117.469,38";"226.254.121,41";
"05/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"838.772.423,19";"333.720.162,21";"324.775.164,43";"203.384.083,94";
"07/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"623.287.466,70";"330.888.772,93";"394.417.595,23";"219.067.761,94";
"02/2024";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"137.526.412,28";"112.778.153,23";"106.595.220,88";"51.847.853,03";
"06/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"448.515.997,18";"255.983.505,84";"196.898.160,91";"8.517.605,07";
"04/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"366.065.130,59";"202.547.600,81";"199.986.699,39";"27.194.909,38";
"05/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"56.769.453,12";"211.302.771,00";"210.655.032,80";"14.268.005,81";
"03/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"49.267.940,08";"184.452.708,69";"182.007.670,06";"36.403.458,83";
"07/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"- 5.750.207,88";"215.679.100,60";"260.500.216,08";"7.058.748,86";
"01/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"1.787.887.240,54";"157.824.094,99";"28.609.097,90";"186.773.981,56";
"02/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"29.516.486,58";"173.989.037,34";"173.780.592,58";"37.957.946,69";
"04/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"72.068.418,20";"22.793.860,30";"20.799.197,78";"37.981.122,20";
"01/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"110.785.250,21";"9.668.350,66";"959.065,55";"37.572.815,82";
"05/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"37.683.150,29";"21.272.572,65";"16.133.885,12";"17.664.809,65";
"06/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"363.751.655,27";"31.029.704,15";"29.110.635,09";"9.914.463,51";
"07/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"71.438.940,31";"50.066.997,27";"52.961.785,31";"5.851.585,02";
"03/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"11.808.321,71";"24.811.495,26";"23.953.148,97";"13.450.527,79";
"02/2024";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"24.888.982,31";"11.150.609,27";"9.960.377,20";"8.552.427,35";
"04/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"206.704.273,09";"50.200.118,37";"49.604.017,62";"83.056.075,73";
"03/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"2.412.571,39";"40.840.673,56";"37.517.394,30";"100.309.996,05";
"07/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"379.363.305,42";"56.881.359,94";"54.838.500,27";"53.948.374,43";
"05/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"105.730.558,72";"60.848.008,03";"54.943.150,23";"83.218.160,17";
"06/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"275.053.163,38";"68.565.371,06";"65.340.837,51";"124.256.162,49";
"02/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"62.441.491,65";"27.310.780,53";"27.996.547,42";"73.011.419,37";
"01/2024";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"301.237.854,51";"25.192.707,88";"6.328.378,32";"82.999.827,90";
"06/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"57.601.643,35";"106.457.305,60";"89.150.231,90";"13.391.070,25";
"04/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"167.259.240,44";"101.157.898,89";"82.808.176,73";"11.484.851,31";
"02/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"29.634.387,45";"65.671.563,90";"48.903.356,47";"26.553.566,98";
"07/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"281.665.900,42";"90.683.603,37";"102.983.880,85";"3.797.226,36";
"05/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"56.127.969,07";"73.373.856,64";"90.118.337,62";"12.947.131,82";
"03/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"25.182.708,84";"65.369.377,81";"79.790.810,21";"10.112.826,67";
"01/2024";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"481.134.564,75";"56.010.885,82";"15.943.615,94";"268.117.938,55";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"310.478.243.047,96";"96.893.215.388,52";"96.881.602.893,03";"9.177.747.906,04";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"156.185.796.810,98";"266.002.656.520,73";"265.941.902.865,17";"1.107.793.116,84";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"183.797.968.918,89";"194.932.477.097,83";"194.800.516.136,41";"1.187.464.732,05";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"31.463.229.188,60";"247.644.715.732,69";"251.814.029.794,02";"77.074.810,29";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"30.915.014.614,90";"80.391.506.102,50";"80.259.386.227,53";"2.901.483.922,44";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"243.729.047.493,29";"71.914.189.015,21";"67.477.310.209,55";"140.435.775,46";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"898.473.735.966,78";"474.987.858.007,41";"474.476.591.707,34";"17.664.308.988,70";
"02/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"8.237.062.056,08";"2.040.799.114,39";"1.990.542.069,51";"54.561.451,65";
"04/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"1.389.783.720,21";"2.124.610.397,49";"2.113.836.766,77";"282.026.396,53";
"07/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"596.602.619,65";"2.177.060.182,81";"2.893.666.736,17";"31.780.928,83";
"06/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"272.615.475,11";"3.054.319.470,52";"2.233.450.887,32";"71.977.912,48";
"05/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"708.235.380,50";"2.238.911.285,16";"2.111.846.862,30";"44.642.995,98";
"03/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"1.165.537.241,84";"2.080.356.350,48";"2.114.351.256,31";"79.101.764,95";
