"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"2.214.820,36";"41.943.847,21";"41.308.484,54";"1.770.647,30";
"06/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"8.578.709,35";"53.692.285,44";"44.787.152,50";"232.307,05";
"04/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"7.038.136,02";"45.216.966,17";"44.087.941,16";"1.245.608,06";
"07/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"12.750.069,13";"37.394.296,11";"45.091.408,45";"395.426,43";
"02/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"737.050,48";"39.442.652,09";"36.299.226,06";"1.531.788,83";
"01/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"511.585.338,29";"41.598.624,35";"8.562.356,28";"48.754.062,91";
"03/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"990.533,81";"5.462.780,15";"5.268.986,37";"337.847,71";
"07/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"8.260.182,62";"4.772.178,55";"5.073.434,10";"55.694,44";
"06/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"6.366.708,38";"4.868.342,70";"3.942.944,48";"124.879,48";
"01/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"23.787.066,68";"2.119.190,34";"336.448,28";"2.311.803,83";
"02/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"3.052.042,59";"3.166.425,83";"3.251.191,23";"1.321.913,40";
"04/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"4.532.545,77";"4.416.980,17";"4.365.547,19";"402.507,15";
"05/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"1.249.360,63";"3.669.029,69";"3.692.146,97";"39.860,52";
"01/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"484.121.958,51";"60.503.418,46";"7.347.061,34";"67.731.999,03";
"04/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"13.846.453,21";"59.841.486,13";"60.195.872,46";"2.185.933,78";
"02/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"3.411.680,96";"61.101.468,27";"65.728.348,77";"5.088.492,59";
"05/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"75.745.879,33";"70.007.531,59";"60.760.676,65";"3.176.889,08";
"06/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"63.494.819,77";"83.119.552,47";"68.880.350,64";"3.675.752,13";
"07/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"95.970.330,12";"61.381.670,32";"74.697.731,11";"1.316.431,89";
"03/2024";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"5.100.622,57";"59.757.704,15";"58.206.595,07";"4.666.163,91";
"04/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"4.272.755.109,37";"2.306.636.478,67";"2.309.482.246,78";"613.472.790,59";
"02/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.035.106.689,33";"1.836.911.998,26";"1.852.898.545,99";"329.896.508,57";
